compound;compound_detail
226;"5287979.0"
227;"52946592.0"
228;"448999.0"
229;"445856.0"
230;"446476.0"
231;"5359.0"
232;"24872560.0"
233;"5277135.0"
234;"9548602.0"
235;"53461739.0"
236;"444698.0"
237;"369976.0"
238;"445715.0"
239;"11915.0"
240;"6369390.0"
241;"3341.0"
242;"347590.0"
243;"16760302.0"
244;"6140.0"
245;"4947.0"
246;"2333.0"
247;"3610.0"
248;"3699.0"
249;"236666.0"
250;"5379.0"
251;"16145453.0"
252;"16758228.0"
253;"5951796.0"
254;"23663870.0"
255;"444389.0"
256;"5288598.0"
257;"4756.0"
258;"178051.0"
259;"9848818.0"
260;"54675779.0"
261;"68942.0"
262;"10134493.0"
263;"177336.0"
264;"447569.0"
265;"44129623.0"
266;"46936967.0"
267;"447153.0"
268;"5161.0"
269;"53235510.0"
270;"5494411.0"
271;"5834.0"
272;"33255.0"
273;"447739.0"
274;"6540299.0"
275;"11610553.0"
276;"6438378.0"
277;"33624.0"
278;"6918653.0"
279;"25263414.0"
280;"5356.0"
281;"159772.0"
282;"449124.0"
283;"76098.0"
284;"213039.0"
285;"9811834.0"
286;"205131.0"
287;"2481.0"
288;"6604901.0"
289;"656965.0"
290;"448271.0"
291;"46937104.0"
292;"446757.0"
293;"6049.0"
294;"408285.0"
295;"15942657.0"
296;"5326956.0"
297;"5288658.0"
298;"24808499.0"
299;"4310.0"
300;"189150.0"
301;"680935.0"
302;"60663.0"
303;"6323491.0"
304;"131704188.0"
305;"446876.0"
306;"3562.0"
307;"131704304.0"
308;"444753.0"
309;"5287703.0"
310;"10477723.0"
311;"12894.0"
312;"5326914.0"
313;"10168.0"
314;"4474224.0"
315;"24916788.0"
316;"854023.0"
317;"3009.0"
318;"445481.0"
319;"25113171.0"
320;"18104.0"
321;"5289192.0"
322;"446752.0"
323;"447656.0"
324;"14985.0"
325;"9547915.0"
326;"96.0"
327;"456468.0"
328;"5326883.0"
329;"444215.0"
330;"657272.0"
331;"3342298.0"
332;"5403336.0"
333;"6918525.0"
334;"4369446.0"
335;"60860.0"
336;"42642645.0"
337;"2720.0"
338;"90206.0"
339;"5904.0"
340;"6445540.0"
341;"16040261.0"
342;"4168.0"
343;"54671008.0"
344;"443955.0"
345;"6857686.0"
346;"5496872.0"
347;"3103.0"
348;"1130.0"
349;"5288066.0"
350;"60700.0"
351;"2818.0"
352;"115224.0"
353;"6365297.0"
354;"51352361.0"
355;"4923.0"
356;"4380.0"
357;"27934.0"
358;"3000391.0"
359;"25945.0"
360;"16666.0"
361;"7045767.0"
362;"1483.0"
363;"5472.0"
364;"2911.0"
365;"24794466.0"
