drugpubchemblsubstance;pubchemblsubstance_detail
939;46507655
940;46505936
941;46507371
942;46505665
943;46509130
944;46506702
945;46506159
946;46506170
947;46505874
948;46504523
949;46505718
950;46505963
951;46507255
952;46507250
953;46506778
954;46508817
955;46505895
956;46505385
957;46505944
958;46507082
959;46508634
960;46507578
961;46508005
962;46507036
963;46507323
964;46509101
965;46505865
966;46507677
967;46507798
968;46507699
969;46505779
970;46508504
971;46507525
972;46504471
973;46505484
974;46506188
975;46507694
976;46507176
977;46506519
978;46507052
979;46507130
980;46506845
981;46508309
982;46505109
983;46507475
984;46508891
985;46508222
986;46507818
987;46505311
988;46507977
989;46506191
990;46505479
991;46505009
992;46507998
993;46505668
994;46508789
995;46506013
996;46509022
997;46504735
998;46507096
999;46508686
1000;46509010
1001;46507828
1002;46505341
1003;46507740
1004;46505909
1005;46506891
1006;46507062
1007;46507594
1008;46506017
1009;46506681
1010;46508003
1011;46508253
1012;46505103
1013;46508994
1014;46507298
1015;46507387
1016;46508027
1017;46505475
1018;46508400
1019;46508143
1020;46505401
1021;46508421
1022;46504660
1023;46504830
1024;46508881
1025;46505386
1026;46506366
1027;46506799
1028;46506228
1029;46507136
1030;46505302
1031;46506381
1032;46506733
1033;46505146
1034;46505134
1035;46504918
1036;46509128
1037;46508208
1038;46505232
1039;46505305
1040;46505039
1041;46504936
1042;46507109
1043;46505138
1044;46508323
1045;46504624
1046;46504812
1047;46506261
1048;46507905
1049;46506896
1050;46505247
1051;46505320
1052;46506589
1053;46509164
1054;46508245
1055;46509129
1056;46507257
1057;46507574
1058;46506317
1059;46505954
1060;46507706
1061;46506448
1062;46507567
1063;46504667
1064;46506085
1065;46505776
1066;46507040
1067;46506232
1068;46506973
1069;46505352
1070;46505716
1071;46507786
1072;46508335
1073;46504529
1074;46508816
1075;46508314
1076;46508867
1077;46507604
1078;46506333
1079;46505270
1080;46506073
1081;46508388
1082;46505296
1083;46509113
1084;46507071
1085;46508078
1086;46508765
1087;46506879
1088;46505233
1089;46505279
1090;46505504
1091;46507322
1092;46508406
1093;46505509
1094;46504608
1095;46507438
1096;46506562
1097;46506774
1098;46506453
1099;46508770
1100;46507518
1101;46506489
1102;46506458
1103;46508566
1104;46505935
1105;46507430
1106;46507645
1107;46504987
1108;46506753
1109;46504976
1110;46508705
1111;46508295
1112;46504869
1113;46508784
1114;46504800
1115;46507450
1116;46505071
1117;46507749
1118;46504470
1119;46506910
1120;46506486
1121;46508726
1122;46505631
1123;46508930
1124;46508120
1125;46508591
1126;46506082
1127;46505745
1128;46508957
1129;46507362
1130;46508264
1131;46505157
1132;46506353
1133;46507737
1134;46508449
1135;46505330
1136;46506766
1137;46506356
1138;46508425
1139;46506527
1140;46506922
1141;46505143
1142;46505358
1143;46509062
1144;46505429
1145;46507141
1146;46506186
1147;46505822
1148;46505657
1149;46508639
1150;46506908
1151;46506296
1152;46507140
1153;46505063
1154;46506960
1155;46507347
1156;46504595
1157;46505502
1158;46506392
1159;46507533
1160;46509017
1161;46504889
1162;46509048
1163;46509151
1164;46506325
1165;46509198
1166;46509009
1167;46506378
1168;46506301
1169;46506307
1170;46509099
1171;46508780
1172;46506379
1173;46507128
1174;46506014
1175;46506420
1176;46507496
1177;46507376
1178;46507309
1179;46508877
1180;46504450
1181;46504901
1182;46505168
1183;46507869
1184;46508633
1185;46507280
1186;46508882
1187;46506123
1188;46505699
1189;46504543
1190;46506572
1191;46505647
1192;46505082
1193;46508044
1194;46506118
1195;46508493
1196;46507656
1197;46505231
1198;46507930
1199;46505698
1200;46506517
1201;46504552
1202;46508176
1203;46506126
1204;46504809
1205;46508165
1206;46504558
1207;46508397
1208;46508321
1209;46508777
1210;46505392
1211;46507679
1212;46504929
1213;46504840
1214;46507538
1215;46507907
1216;46506045
1217;46505148
1218;46504765
1219;46506005
1220;46505934
1221;46508750
1222;46508852
1223;46508832
1224;46507076
1225;46504651
1226;46504498
1227;46507049
1228;46504602
1229;46509188
1230;46505639
1231;46507653
1232;46506035
1233;46508713
1234;46506882
1235;46509161
1236;46505243
1237;46507223
1238;46508934
1239;46508032
1240;46506475
1241;46508373
1242;46505785
1243;46504448
1244;46508553
1245;46508129
1246;46508574
1247;46507919
1248;46504767
1249;46507324
1250;46507631
1251;46507354
1252;46508693
1253;46505497
1254;46504975
1255;46505555
1256;46506449
1257;46504647
1258;46508419
1259;46505478
1260;46505517
1261;46506946
1262;46505532
1263;46505216
1264;46505115
1265;46506283
1266;46507962
1267;46506995
1268;46507548
1269;46506802
1270;46505069
1271;46507174
1272;46506839
1273;46506404
1274;46507159
1275;46508161
1276;46505092
1277;46507471
1278;46507716
1279;46505193
1280;46508979
1281;46507463
1282;46507405
1283;46505591
1284;46505124
1285;46505501
1286;46508011
1287;46504806
1288;46505583
1289;46504553
1290;46506559
1291;46507433
1292;46506478
1293;46505694
1294;46508776
1295;46508701
1296;46505389
1297;46507441
1298;46506587
1299;46507563
1300;46508967
1301;46509149
1302;46506252
1303;46508541
1304;46506122
1305;46508996
1306;46505036
1307;46507146
1308;46506203
1309;46508795
1310;46507008
1311;46505417
1312;46505952
1313;46505248
1314;46506006
1315;46509190
1316;46506903
1317;46505806
1318;46505611
1319;46505744
1320;46508876
1321;46504590
1322;46508588
1323;46508088
1324;46505085
1325;46506791
1326;46505524
1327;46508459
1328;46507839
1329;46508990
1330;46508205
1331;46506646
1332;46506981
1333;46504744
1334;46508187
