association_id;atc_id_id;drug_id_id
23090;G01AF02;DB00257
23091;G01AF20;DB00257
23092;J04AB01;DB00260
23093;L01XX35;DB00261
23094;L01AD01;DB00262
23095;J01EB05;DB00263
23096;G01AE10;DB00263
23097;S01AB02;DB00263
23098;C07FB02;DB00264
23099;C07FX05;DB00264
23100;C07FX03;DB00264
23101;C07FB13;DB00264
23102;C07AB02;DB00264
23103;C07BB52;DB00264
23104;C07CB02;DB00264
23105;C07BB02;DB00264
23106;B01AA01;DB00266
23107;N04BC04;DB00268
23108;G03CA06;DB00269
23109;C08CA03;DB00270
23110;V04CG02;DB00272
23111;N03AX11;DB00273
23112;J01DC09;DB00274
23113;C09DA08;DB00275
23114;C09DX03;DB00275
23115;C09CA08;DB00275
23116;C09DB02;DB00275
23117;L01XX01;DB00276
23118;R03DA54;DB00277
23119;R03DA74;DB00277
23120;R03DA20;DB00277
23121;R03DA04;DB00277
23122;R03DB04;DB00277
23123;B01AE03;DB00278
23124;H03AA03;DB00279
23125;H03AA02;DB00279
23126;C01BA03;DB00280
23127;S01HA07;DB00281
23128;D04AB01;DB00281
23129;R02AD02;DB00281
23130;C01BB01;DB00281
23131;S02DA01;DB00281
23132;N01BB52;DB00281
23133;C05AD01;DB00281
23134;N01BB02;DB00281
23135;M05BA03;DB00282
23136;D04AA14;DB00283
23137;R06AA54;DB00283
23138;R06AA04;DB00283
23139;A10BD17;DB00284
23140;A10BF01;DB00284
23141;N06AX16;DB00285
23142;G03CA57;DB00286
23143;G03CC07;DB00286
23144;S01EE04;DB00287
23145;D07AC11;DB00288
23146;N06BA09;DB00289
23147;L01DC01;DB00290
23148;L01AA02;DB00291
23149;N01AX07;DB00292
23150;L01BA03;DB00293
23151;G03AC08;DB00294
23152;A07DA52;DB00295
23153;N02AA51;DB00295
23154;N02AA01;DB00295
23155;N02AG01;DB00295
23156;N01BB09;DB00296
23157;N01BB01;DB00297
23158;N01BB51;DB00297
23159;S01EX02;DB00298
23160;J05AR27;DB00300
23161;J05AF07;DB00300
23162;J05AR08;DB00300
23163;J05AR11;DB00300
23164;J05AR09;DB00300
23165;J05AR06;DB00300
23166;J05AR24;DB00300
23167;J05AR12;DB00300
23168;J05AR03;DB00300
23169;J01CR50;DB00301
23170;J01CF05;DB00301
23171;B02AA02;DB00302
23172;G03AC09;DB00304
23173;G03FB10;DB00304
23174;G03AB05;DB00304
23175;G03AA09;DB00304
23176;L01DC03;DB00305
23177;N05CA07;DB00306
23178;L01XX25;DB00307
23179;C01BD05;DB00308
23180;L01CA03;DB00309
23181;G01AE10;DB00310
23182;C03EA06;DB00310
23183;C03BB04;DB00310
23184;C03BA04;DB00310
23185;N05CB01;DB00312
23186;N05CA01;DB00312
23187;N03AG01;DB00313
23188;N02CC03;DB00315
23189;N02BE71;DB00316
23190;N02BE01;DB00316
23191;N02AJ13;DB00316
23192;N02AJ17;DB00316
23193;N02BE51;DB00316
23194;N02AJ06;DB00316
23195;N02AJ01;DB00316
23196;L01XE02;DB00317
23197;N02AA79;DB00318
23198;R05DA04;DB00318
23199;N02AA59;DB00318
23200;N02AJ08;DB00318
23201;N02AJ06;DB00318
23202;N02AJ07;DB00318
23203;J01CA12;DB00319
23204;J01CR50;DB00319
23205;N02CA51;DB00320
23206;N02CA01;DB00320
23207;N06AA09;DB00321
23208;N06CA01;DB00321
23209;L01BC09;DB00322
23210;N04BX01;DB00323
23211;D07XB04;DB00324
23212;D07AB06;DB00324
23213;S01BA07;DB00324
23214;S01BB03;DB00324
23215;C05AA06;DB00324
23216;D07CB03;DB00324
23217;S01CB05;DB00324
23218;S01CA07;DB00324
23219;D10AA01;DB00324
23220;C02DD01;DB00325
23221;N02AA53;DB00327
23222;N02AA03;DB00327
23223;N02AG04;DB00327
23224;S01CC02;DB00328
23225;M01AB51;DB00328
23226;S01BC01;DB00328
23227;M02AA23;DB00328
23228;M01AB01;DB00328
23229;C01EB03;DB00328
23230;J04AK02;DB00330
23231;J04AM03;DB00330
23232;J04AM06;DB00330
23233;J04AM07;DB00330
23234;A10BD23;DB00331
23235;A10BD02;DB00331
23236;A10BD18;DB00331
23237;A10BD11;DB00331
23238;A10BD25;DB00331
23239;A10BA02;DB00331
23240;A10BD22;DB00331
23241;A10BD14;DB00331
23242;A10BD16;DB00331
23243;A10BD17;DB00331
23244;A10BD05;DB00331
23245;A10BD15;DB00331
23246;A10BD07;DB00331
23247;A10BD10;DB00331
23248;A10BD13;DB00331
23249;A10BD20;DB00331
23250;A10BD08;DB00331
23251;A10BD03;DB00331
23252;R03BB01;DB00332
23253;R01AX03;DB00332
23254;R03AL01;DB00332
23255;R03AL02;DB00332
23256;N07BC02;DB00333
23257;N02AC52;DB00333
23258;N05AH03;DB00334
23259;C07CB53;DB00335
23260;C07AB03;DB00335
23261;C07FB03;DB00335
23262;C07DB01;DB00335
23263;C07BB03;DB00335
23264;C07CB03;DB00335
23265;B05CA03;DB00336
23266;S02AA02;DB00336
23267;D08AF01;DB00336
23268;D09AA03;DB00336
23269;S01AX04;DB00336
23270;P01CC02;DB00336
23271;D11AH02;DB00337
23272;A02BC01;DB00338
23273;A02BD05;DB00338
23274;A02BD01;DB00338
23275;J04AK01;DB00339
23276;J04AM06;DB00339
23277;J04AM05;DB00339
23278;R06AE07;DB00341
23279;R06AX12;DB00342
23280;C08DB01;DB00343
23281;C05AE03;DB00343
23282;N06AA11;DB00344
23283;V04CH30;DB00345
23284;G04CA01;DB00346
23285;G04CA51;DB00346
23286;N03AC02;DB00347
23287;A16AX04;DB00348
23288;N05BA09;DB00349
23289;D11AX01;DB00350
23290;C02DC01;DB00350
23291;G03FB04;DB00351
23292;G03DB02;DB00351
23293;G03FA08;DB00351
23294;G03AC05;DB00351
23295;L02AB01;DB00351
23296;G03AA04;DB00351
23297;G03AB01;DB00351
