interaction_id;actions;known_action;interaction_type;pubmed_ids;drug_bankID_id;uniprot_ID_id
14849;antagonist;yes;target;15289999;DB06594;P28335
14850;agonist;yes;target;15289999;DB06594;P48039
14851;agonist;yes;target;15289999;DB06594;P49286
14852;substrate;unknown;enzyme;30034221|21350627;DB06594;P05177
14853;inhibitor;unknown;enzyme;19033480;DB06594;P11712
14854;antagonist|inhibitor;yes;target;16969355;DB06595;P17252
14855;antagonist|inhibitor;yes;target;16969355;DB06595;P35968
14856;antagonist|inhibitor;unknown;target;16969355;DB06595;P10721
14857;antagonist|inhibitor;yes;target;16969355;DB06595;P16234
14858;antagonist|inhibitor;yes;target;16969355;DB06595;P09619
14859;antagonist|inhibitor;yes;target;16969355|27186148;DB06595;P36888
14860;inhibitor|inducer;unknown;enzyme;28270565;DB06595;P05177
14861;inducer;unknown;enzyme;28270565;DB06595;P20813
14862;inhibitor|inducer;unknown;enzyme;28270565;DB06595;P10632
14863;inhibitor|inducer;unknown;enzyme;28270565;DB06595;P11712
14864;inhibitor|inducer;unknown;enzyme;28270565;DB06595;P33261
14865;inhibitor;unknown;enzyme;28270565;DB06595;P10635
14866;inhibitor;unknown;enzyme;28270565;DB06595;P05181
14867;substrate|inhibitor|inducer;unknown;enzyme;28270565;DB06595;P08684
14868;inducer;unknown;enzyme;nan;DB06595;P20815
14869;inducer;unknown;enzyme;nan;DB06595;P24462
14870;inducer;unknown;enzyme;nan;DB06595;Q9HB55
14871;nan;unknown;target;18056199|17671142;DB06599;O14763
14872;inhibitor;no;enzyme;8429824|21190921;DB06600;P05177
14873;antagonist;yes;target;nan;DB06602;P05113
14874;substrate;unknown;enzyme;26503877;DB06603;P08684
14875;inhibitor;no;enzyme;26503877|26504410;DB06603;P10635
14876;substrate;no;transporter;26504410;DB06603;P08183
14877;inhibitor;yes;target;17371192|18393142;DB06605;P00742
14878;substrate;no;enzyme;19940026;DB06605;P08684
14879;substrate;unknown;enzyme;24421512;DB06605;P05177
14880;substrate;unknown;enzyme;nan;DB06605;P10632
14881;substrate;unknown;enzyme;nan;DB06605;P11712
14882;substrate;unknown;enzyme;24421512|23785225|23959307;DB06605;P33261
14883;substrate;unknown;enzyme;nan;DB06605;P51589
14884;substrate;unknown;enzyme;23016247;DB06605;P20815
14885;substrate;unknown;transporter;23785225;DB06605;P08183
14886;substrate;unknown;transporter;30266733;DB06605;Q9UNQ0
14887;antagonist;yes;target;10716879|31523950;DB06606;P07766
14888;ligand;no;target;20347527;DB06607;P16422
14889;agonist;yes;target;20347527;DB06607;P12318
14890;agonist;yes;target;20347527;DB06607;P08637
14891;agonist;yes;target;20347527;DB06607;O75015
14892;agonist;yes;target;20347527;DB06607;P07766
14893;agonist;yes;target;20347527;DB06607;P12314
14894;substrate;no;enzyme;27528800;DB06608;P10635
14895;inhibitor;no;transporter;nan;DB06608;O15244
14896;inhibitor;no;transporter;nan;DB06608;Q96FL8
14897;inhibitor;no;transporter;nan;DB06608;Q86VL8
14898;antagonist;yes;target;18564273|14699394;DB06612;P05113
14899;inhibitor;yes;target;nan;DB06616;P11274
14900;inhibitor;yes;target;nan;DB06616;P00519
14901;nan;unknown;target;nan;DB06616;P07948
14902;inhibitor;unknown;target;nan;DB06616;P08631
14903;inhibitor;unknown;target;nan;DB06616;P12931
14904;inhibitor;unknown;target;19039322;DB06616;P24941
14905;inhibitor;unknown;target;19039322;DB06616;Q02750
14906;inhibitor;unknown;target;19039322;DB06616;P36507
14907;inhibitor;unknown;target;23134735;DB06616;Q9Y2U5
14908;inhibitor;unknown;target;23493838;DB06616;Q13555
14909;substrate|inhibitor;no;enzyme;24713129;DB06616;P08684
14910;inhibitor;unknown;enzyme;24713129;DB06616;P10632
14911;substrate;unknown;transporter;nan;DB06616;P08183
14912;nan;unknown;target;2901483;DB06623;P08913
14913;inhibitor;yes;target;18541897;DB06626;P17948
14914;inhibitor;yes;target;18541897;DB06626;P35968
14915;inhibitor;yes;target;18541897;DB06626;P35916
14916;substrate;no;enzyme;22170007|23677771;DB06626;P08684
14917;substrate;no;enzyme;22170007|23677771;DB06626;P20815
14918;substrate;no;enzyme;22170007|23677771;DB06626;P05177
14919;substrate;no;enzyme;22170007|23677771;DB06626;P33261
14920;substrate;no;enzyme;22170007|23677771;DB06626;P22309
14921;substrate|inhibitor;no;transporter;22170007|23677771;DB06626;P08183
14922;substrate|inhibitor;no;transporter;22170007|24398510;DB06626;Q9Y6L6
14923;nan;unknown;target;21149541;DB06634;P08684
14924;nan;unknown;target;21229983;DB06634;P25103
14925;nan;unknown;target;18060241|16411387;DB06635;P00742
14926;substrate|inhibitor|inducer;unknown;enzyme;26598096;DB06636;P08684
14927;inhibitor;no;transporter;26179012;DB06636;P08183
14928;antagonist;yes;target;16472864;DB06637;Q09470
14929;antagonist;yes;target;16472864;DB06637;P16389
14930;antagonist;yes;target;16472864;DB06637;P22001
14931;antagonist;yes;target;16472864;DB06637;P22459
14932;antagonist;yes;target;16472864;DB06637;P22460
14933;antagonist;yes;target;16472864;DB06637;P17658
14934;antagonist;yes;target;16472864;DB06637;Q96RP8
14935;antagonist;yes;target;16472864;DB06637;Q16322
14936;antagonist;yes;target;16472864;DB06637;Q14721
14937;antagonist;yes;target;16472864;DB06637;Q92953
14938;antagonist;yes;target;16472864;DB06637;P48547
14939;antagonist;yes;target;16472864;DB06637;Q96PR1
14940;antagonist;yes;target;16472864;DB06637;Q14003
14941;antagonist;yes;target;16472864;DB06637;Q9NSA2
14942;antagonist;yes;target;23184313;DB06637;Q9NZV8
14943;antagonist;yes;target;16472864;DB06637;Q9UK17
14944;substrate;unknown;enzyme;22764324;DB06637;P05181
14945;substrate;unknown;transporter;nan;DB06637;O15244
14946;nan;unknown;target;18201764;DB06641;P31749
14947;nan;unknown;target;16528479;DB06641;P28482
14948;nan;unknown;target;16528479;DB06641;P17252
14949;nan;unknown;target;18523657;DB06642;P15692
14950;antibody;yes;target;18685421|16702197;DB06643;O14788
14951;antibody;yes;target;18388516|17768100|19427037;DB06650;P11836
14952;nan;unknown;target;17243065|18495779;DB06652;P51681
14953;substrate;unknown;enzyme;19515014;DB06652;P08684
14954;substrate;unknown;enzyme;19515014;DB06652;P20815
14955;substrate;unknown;enzyme;19515014;DB06652;P11712
14956;antagonist;yes;target;15082032|15563241;DB06654;P27338
14957;inhibitor;unknown;enzyme;17824599;DB06654;P21397
14958;substrate;unknown;enzyme;24136086;DB06654;P08684
14959;inhibitor;unknown;enzyme;nan;DB06654;P04798
14960;inhibitor;unknown;enzyme;nan;DB06654;P05177
14961;inhibitor;unknown;enzyme;nan;DB06654;P10635
14962;inhibitor;unknown;enzyme;15082032|27186120;DB06654;P33261
14963;inhibitor;unknown;enzyme;nan;DB06654;P20815
14964;inhibitor;unknown;transporter;nan;DB06654;Q9UNQ0
14965;substrate;unknown;transporter;24136086;DB06654;Q9UIG8
14966;agonist;yes;target;14678021|18333889;DB06655;P43220
14967;binder;unknown;carrier;nan;DB06655;P02768
14968;substrate;unknown;enzyme;20709939;DB06655;P27487
14969;substrate;unknown;enzyme;20709939;DB06655;P08473
14970;nan;unknown;target;18601911|9701408;DB06660;P21452
14971;nan;unknown;target;17395978|11980628;DB06663;P30872
14972;nan;unknown;target;17395978|11980628;DB06663;P30874
14973;nan;unknown;target;17395978|11980628;DB06663;P32745
14974;nan;unknown;target;17395978|11980628;DB06663;P35346
14975;inhibitor;no;enzyme;nan;DB06663;P08684
14976;inhibitor;unknown;target;18226527;DB06670;P43235
14977;substrate;no;enzyme;24553380|24895078;DB06670;P08684
14978;substrate;no;enzyme;24553380;DB06670;P10632
14979;substrate;unknown;transporter;24553380;DB06670;P08183
14980;antibody;yes;target;21079302;DB06674;P01375
14981;nan;unknown;target;16219361;DB06677;P25101
14982;inverse agonist;unknown;target;26047892;DB06678;P35367
14983;substrate;unknown;enzyme;21246188;DB06678;P10635
14984;nan;unknown;target;15857972|15714390;DB06680;P06401
14985;antagonist;yes;target;18269922;DB06681;P42081
14986;antagonist;yes;target;17616278|16978033;DB06681;P33681
14987;inhibitor;yes;target;22346333|12183683|15507223;DB06684;P31645
14988;agonist;unknown;target;12183683|15507223;DB06684;P08908
14989;substrate;unknown;enzyme;22346333;DB06684;P08684
14990;substrate;unknown;enzyme;22346333;DB06684;P10635
14991;substrate;unknown;enzyme;22346333;DB06684;P33261
14992;substrate;unknown;enzyme;15764719|21163185;DB06685;P08684
14993;other;yes;target;15176049|16736512|26025563;DB06688;P15309
14994;activator;unknown;target;1986546|3828735;DB06689;P00748
14995;antagonist;yes;target;19544046|19537525|19552055|16402096|1979798;DB06691;P35367
14996;inhibitor;unknown;enzyme;7853212|11903961;DB06691;P10635
14997;nan;unknown;transporter;10215651;DB06691;Q9H015
14998;nan;unknown;transporter;10525100;DB06691;O76082
14999;nan;unknown;target;15277296;DB06692;P07477
15000;nan;unknown;target;15277296;DB06692;P17538
15001;nan;unknown;target;15277296;DB06692;P00747
15002;nan;unknown;target;15277296;DB06692;P06870
