drugchembl;chembl_detail
1066;CHEMBL339427
1067;CHEMBL493
1068;CHEMBL1660
1069;CHEMBL1286
1070;CHEMBL649
1071;CHEMBL58
1072;CHEMBL407
1073;CHEMBL514
1074;CHEMBL280728
1075;CHEMBL850
1076;CHEMBL1685
1077;CHEMBL1201237
1078;CHEMBL1741
1079;CHEMBL161
1080;CHEMBL1308
1081;CHEMBL1291
1082;CHEMBL285674
1083;CHEMBL710
1084;CHEMBL1399
1085;CHEMBL1107
1086;CHEMBL1201288
1087;CHEMBL1617
1088;CHEMBL742
1089;CHEMBL1370
1090;CHEMBL1370561
1091;CHEMBL716
1092;CHEMBL1201685
1093;CHEMBL1182833
1094;CHEMBL1514
1095;CHEMBL315838
1096;CHEMBL428647
1097;CHEMBL936
1098;CHEMBL114
1099;CHEMBL86
1100;CHEMBL384467
1101;CHEMBL1009
1102;CHEMBL1200694
1103;CHEMBL1201245
1104;CHEMBL1112
1105;CHEMBL908
1106;CHEMBL1139
1107;CHEMBL457
1108;CHEMBL415
1109;CHEMBL1008
1110;CHEMBL1190
1111;CHEMBL829
1112;CHEMBL1201168
1113;CHEMBL92
1114;CHEMBL425
1115;CHEMBL383634
1116;CHEMBL471498
1117;CHEMBL119443
1118;CHEMBL1421
1119;CHEMBL1201222
1120;CHEMBL1658
1121;CHEMBL1201828
1122;CHEMBL554
1123;CHEMBL1201109
1124;CHEMBL1422
1125;CHEMBL1201129
1126;CHEMBL1397
1127;CHEMBL1323
1128;CHEMBL1621
1129;CHEMBL535
1130;CHEMBL1201827
1131;CHEMBL1201825
1132;CHEMBL1201826
1133;CHEMBL1201824
1134;CHEMBL1396
1135;CHEMBL1363
1136;CHEMBL276832
1137;CHEMBL414357
1138;CHEMBL1201716
1139;CHEMBL2103758
1140;CHEMBL1201822
1141;CHEMBL1201112
1142;CHEMBL1201823
1143;CHEMBL3301668
1144;CHEMBL404108
1145;CHEMBL2103784
1146;CHEMBL1201610
1147;CHEMBL32800
1148;CHEMBL2106618
1149;CHEMBL1094966
1150;CHEMBL1120
1151;CHEMBL314010
1152;CHEMBL493287
1153;CHEMBL6995
1154;CHEMBL1200434
1155;CHEMBL1201496
1156;CHEMBL2104391
1157;CHEMBL1201613
1158;CHEMBL1664
1159;CHEMBL1201336
1160;CHEMBL1587
1161;CHEMBL1532
1162;CHEMBL1146
1163;CHEMBL1435
1164;CHEMBL1601
1165;CHEMBL507674
1166;CHEMBL474579
1167;CHEMBL528
1168;CHEMBL1604
1169;CHEMBL1259
1170;CHEMBL185073
1171;CHEMBL1201206
1172;CHEMBL1201219
1173;CHEMBL515606
1174;CHEMBL315021
1175;CHEMBL305544
1176;CHEMBL431
1177;CHEMBL432162
1178;CHEMBL267894
1179;CHEMBL7863
1180;CHEMBL404422
1181;CHEMBL468837
1182;CHEMBL7728
1183;CHEMBL1234004
1184;CHEMBL1201151
1185;CHEMBL1290
1186;CHEMBL211456
1187;CHEMBL3249705
1188;CHEMBL887
1189;CHEMBL1200649
1190;CHEMBL3185220
1191;CHEMBL1650
1192;CHEMBL1697838
1193;CHEMBL1579
1194;CHEMBL45816
1195;CHEMBL1353
1196;CHEMBL15245
1197;CHEMBL264374
1198;CHEMBL107
1199;CHEMBL1509
1200;CHEMBL254219
